WNT16,http://www.proteinatlas.org/images/27030/59322_B_9_1.jpg,fibroblasts: Moderate: keratinocytes: Negative: Langerhans: Negative: melanocytes: Negative,Epidermis/Dermis
WNT16,http://www.proteinatlas.org/images/27030/59322_B_5_8.jpg,epidermal cells: Weak,Epidermis/Dermis
TFAP2B,http://www.proteinatlas.org/images/10426/24204_B_9_1.jpg,fibroblasts: Negative: keratinocytes: Negative: Langerhans: Negative: melanocytes: Moderate,Epidermis
TFAP2B,http://www.proteinatlas.org/images/10426/24204_B_6_8.jpg,epidermal cells: Weak,Epidermis
TFAP2B,http://www.proteinatlas.org/images/34683/82211_B_7_1.jpg,fibroblasts: Negative: keratinocytes: Strong: Langerhans: Negative: melanocytes: Strong,Epidermis
TFAP2B,http://www.proteinatlas.org/images/34683/82211_B_5_8.jpg,epidermal cells: Strong,Epidermis
IL20RA,http://www.proteinatlas.org/images/24990/64031_B_9_1.jpg,fibroblasts: Moderate: keratinocytes: Moderate: Langerhans: Weak: melanocytes: Weak,Epidermis/Dermis
IL20RA,http://www.proteinatlas.org/images/24990/64031_B_5_8.jpg,epidermal cells: Moderate,Epidermis/Dermis
IL20RA,http://www.proteinatlas.org/images/42281/90551_B_8_1.jpg,fibroblasts: Negative: keratinocytes: Moderate: Langerhans: Moderate: melanocytes: Negative,Epidermis/Dermis
IL20RA,http://www.proteinatlas.org/images/42281/90551_B_5_8.jpg,epidermal cells: Moderate,Epidermis/Dermis
VCAN,http://www.proteinatlas.org/images/4726/12823_B_7_1.jpg,fibroblasts: Moderate: keratinocytes: Strong: Langerhans: Negative: melanocytes: Negative,Dermis/DEJ
VCAN,http://www.proteinatlas.org/images/4726/12823_B_4_8.jpg,epidermal cells: Weak,Dermis/DEJ
VCAN,http://www.proteinatlas.org/images/8979/23629_B_9_1.jpg,fibroblasts: Strong: keratinocytes: Moderate: Langerhans: Moderate: melanocytes: Weak,Dermis/DEJ
VCAN,http://www.proteinatlas.org/images/8979/23629_B_4_8.jpg,epidermal cells: Weak,Dermis/DEJ
TNC,http://www.proteinatlas.org/images/4592/12212_B_7_1.jpg,fibroblasts: Negative: keratinocytes: Moderate: Langerhans: Negative: melanocytes: Negative,DEJ
TNC,http://www.proteinatlas.org/images/4592/12212_B_4_8.jpg,epidermal cells: Weak,DEJ
TNC,http://www.proteinatlas.org/images/4823/13810_B_9_1.jpg,fibroblasts: Negative: keratinocytes: Weak: Langerhans: Negative: melanocytes: Negative,DEJ
TNC,http://www.proteinatlas.org/images/4823/13810_B_4_8.jpg,epidermal cells: Weak,DEJ
DSG2,http://www.proteinatlas.org/images/4896/15170_B_7_1.jpg,fibroblasts: Negative: keratinocytes: Weak: Langerhans: Negative: melanocytes: Negative,DEJ
DSG2,http://www.proteinatlas.org/images/4896/15170_B_4_8.jpg,epidermal cells: Moderate,DEJ
DSG2,http://www.proteinatlas.org/images/25122/55672_B_8_1.jpg,fibroblasts: Negative: keratinocytes: Weak: Langerhans: Negative: melanocytes: Negative,DEJ
DSG2,http://www.proteinatlas.org/images/25122/55672_B_6_8.jpg,epidermal cells: Moderate,DEJ
LTBP1,http://www.proteinatlas.org/images/6221/22727_B_8_1.jpg,fibroblasts: Negative: keratinocytes: Negative: Langerhans: Negative: melanocytes: Negative,Dermis
LTBP1,http://www.proteinatlas.org/images/6221/22727_B_4_8.jpg,epidermal cells: Negative,Dermis
LTBP1,http://www.proteinatlas.org/images/25428/55565_B_7_1.jpg,fibroblasts: Moderate: keratinocytes: Moderate: Langerhans: Negative: melanocytes: Negative,Dermis
LTBP1,http://www.proteinatlas.org/images/25428/55565_B_6_8.jpg,epidermal cells: Weak,Dermis
ELN,http://www.proteinatlas.org/images/10750/25579_B_9_1.jpg,fibroblasts: Moderate: keratinocytes: Moderate: Langerhans: Negative: melanocytes: Moderate,Dermis 
ELN,http://www.proteinatlas.org/images/10750/25579_B_4_8.jpg,epidermal cells: Negative,Dermis 
ELN,http://www.proteinatlas.org/images/18111/40709_B_9_1.jpg,fibroblasts: Moderate: keratinocytes: Negative: Langerhans: Negative: melanocytes: Negative,Dermis 
ELN,http://www.proteinatlas.org/images/18111/40709_B_4_8.jpg,epidermal cells: Negative,Dermis 
ELN,http://www.proteinatlas.org/images/56941/133153_B_9_1.jpg,fibroblasts: Negative: keratinocytes: Negative: Langerhans: Negative: melanocytes: Negative,Dermis 
ELN,http://www.proteinatlas.org/images/56941/133153_B_6_8.jpg,epidermal cells: Negative,Dermis 
COL23A1,http://www.proteinatlas.org/images/67824/152845_B_8_1.jpg,fibroblasts: Moderate: keratinocytes: Moderate: Langerhans: Moderate: melanocytes: Moderate,Epidermis
COL23A1,http://www.proteinatlas.org/images/67824/152845_B_4_8.jpg,epidermal cells: Moderate,Epidermis
CDH3,http://www.proteinatlas.org/images/1767/8164_B_9_1.jpg,fibroblasts: Negative: keratinocytes: Strong: Langerhans: Moderate: melanocytes: Moderate,Epidermis
CDH3,http://www.proteinatlas.org/images/1767/8164_B_6_8.jpg,epidermal cells: Strong,Epidermis
CDH3,http://www.proteinatlas.org/images/2487/6286_B_8_1.jpg,fibroblasts: Negative: keratinocytes: Moderate: Langerhans: Moderate: melanocytes: Moderate,Epidermis
CDH3,http://www.proteinatlas.org/images/2487/6286_B_4_8.jpg,epidermal cells: Strong,Epidermis
ARSF,http://www.proteinatlas.org/images/549/1001_B_7_1.jpg,fibroblasts: Negative: keratinocytes: Moderate: Langerhans: Negative: melanocytes: Strong,Epidermis
ARSF,http://www.proteinatlas.org/images/549/1001_B_6_8.jpg,epidermal cells: Moderate,Epidermis
GPC1,http://www.proteinatlas.org/images/30571/64142_B_8_1.jpg,fibroblasts: Moderate: keratinocytes: Moderate: Langerhans: Moderate: melanocytes: Moderate,Epidermis/Dermis
GPC1,http://www.proteinatlas.org/images/30571/64142_B_5_8.jpg,epidermal cells: Moderate,Epidermis/Dermis
DLX3,http://www.proteinatlas.org/images/31164/64852_B_7_1.jpg,fibroblasts: Weak: keratinocytes: Moderate: Langerhans: Moderate: melanocytes: Moderate,Epidermis/Dermis
DLX3,http://www.proteinatlas.org/images/31164/64852_B_6_8.jpg,epidermal cells: Weak,Epidermis/Dermis
COL17A1,http://www.proteinatlas.org/images/43673/142393_B_9_1.jpg,fibroblasts: Moderate: keratinocytes: Moderate: Langerhans: Moderate: melanocytes: Moderate,DEJ
COL17A1,http://www.proteinatlas.org/images/43673/142393_B_6_8.jpg,epidermal cells: Moderate,DEJ
COL17A1,http://www.proteinatlas.org/images/52963/142474_B_7_1.jpg,fibroblasts: Negative: keratinocytes: Moderate: Langerhans: Negative: melanocytes: Negative,DEJ
COL17A1,http://www.proteinatlas.org/images/52963/142474_B_6_8.jpg,epidermal cells: Moderate,DEJ
FGFR3,http://www.proteinatlas.org/images/4231/11838_B_9_1.jpg,fibroblasts: Negative: keratinocytes: Strong: Langerhans: Weak: melanocytes: Moderate,Epidermis/Dermis
FGFR3,http://www.proteinatlas.org/images/4231/11838_B_4_8.jpg,epidermal cells: Strong,Epidermis/Dermis
HES2,http://www.proteinatlas.org/images/39462/82913_B_8_1.jpg,fibroblasts: Weak: keratinocytes: Moderate: Langerhans: Negative: melanocytes: Negative,Epidermis/Dermis
HES2,http://www.proteinatlas.org/images/39462/82913_B_5_8.jpg,epidermal cells: Moderate,Epidermis/Dermis
CYP2W1,http://www.proteinatlas.org/images/12753/29609_B_9_1.jpg,fibroblasts: Weak: keratinocytes: Weak: Langerhans: Weak: melanocytes: Negative,Epidermis/Dermis
CYP2W1,http://www.proteinatlas.org/images/12753/29609_B_6_8.jpg,epidermal cells: Weak,Epidermis/Dermis
TP63,http://www.proteinatlas.org/images/83/860_B_7_1.jpg,fibroblasts: Negative: keratinocytes: Strong: Langerhans: Strong: melanocytes: Strong,Epidermis
TP63,http://www.proteinatlas.org/images/83/860_B_6_8.jpg,epidermal cells: Strong,Epidermis
TP63,http://www.proteinatlas.org/images/6288/19019_B_9_1.jpg,fibroblasts: Negative: keratinocytes: Strong: Langerhans: Strong: melanocytes: Weak,Epidermis
TP63,http://www.proteinatlas.org/images/6288/19019_B_4_8.jpg,epidermal cells: Strong,Epidermis
TP63,http://www.proteinatlas.org/images/7010/19079_B_9_1.jpg,fibroblasts: Negative: keratinocytes: Strong: Langerhans: Strong: melanocytes: Strong,Epidermis
TP63,http://www.proteinatlas.org/images/7010/19079_B_4_8.jpg,epidermal cells: Moderate,Epidermis
CAMSAP3,http://www.proteinatlas.org/images/43830/95835_B_9_1.jpg,fibroblasts: Weak: keratinocytes: Weak: Langerhans: Negative: melanocytes: Moderate,Epidermis/Dermis
CAMSAP3,http://www.proteinatlas.org/images/43830/95835_B_6_8.jpg,epidermal cells: Negative,Epidermis/Dermis
TYR,http://www.proteinatlas.org/images/79/994_B_8_1.jpg,fibroblasts: Negative: keratinocytes: Negative: Langerhans: Negative: melanocytes: Strong,Epidermis 
TYR,http://www.proteinatlas.org/images/79/994_B_6_8.jpg,epidermal cells: Strong,Epidermis 
FBLN1,http://www.proteinatlas.org/images/1612/7061_B_9_1.jpg,fibroblasts: Moderate: keratinocytes: Moderate: Langerhans: Negative: melanocytes: Moderate,Dermis
FBLN1,http://www.proteinatlas.org/images/1612/7061_B_4_8.jpg,epidermal cells: Moderate,Dermis
FBLN1,http://www.proteinatlas.org/images/1613/7065_B_8_1.jpg,fibroblasts: Moderate: keratinocytes: Moderate: Langerhans: Negative: melanocytes: Moderate,Dermis
FBLN1,http://www.proteinatlas.org/images/1613/7065_B_4_8.jpg,epidermal cells: Negative,Dermis
FBLN1,http://www.proteinatlas.org/images/4393/12770_B_7_1.jpg,keratinocytes: Negative: Langerhans: Negative: melanocytes: Negative,Dermis
FBLN1,http://www.proteinatlas.org/images/4393/12770_B_4_8.jpg,epidermal cells: Moderate,Dermis
FBLN1,http://www.proteinatlas.org/images/68187/152458_B_9_1.jpg,fibroblasts: Moderate: keratinocytes: Negative: Langerhans: Negative: melanocytes: Negative,Dermis
FBLN1,http://www.proteinatlas.org/images/68187/152458_B_6_8.jpg,epidermal cells: Negative,Dermis
TP73,http://www.proteinatlas.org/images/2514/142954_B_8_1.jpg,fibroblasts: Negative: keratinocytes: Strong: Langerhans: Negative: melanocytes: Negative,Epidermis
TP73,http://www.proteinatlas.org/images/2514/142954_B_6_8.jpg,epidermal cells: Strong,Epidermis
TP73,http://www.proteinatlas.org/images/3022/155441_B_7_1.jpg,fibroblasts: Negative: keratinocytes: Moderate: Langerhans: Negative: melanocytes: Moderate,Epidermis
TP73,http://www.proteinatlas.org/images/3022/155441_B_6_8.jpg,epidermal cells: Strong,Epidermis
DCT,http://www.proteinatlas.org/images/10743/26206_B_9_1.jpg,fibroblasts: Negative: keratinocytes: Moderate: Langerhans: Negative: melanocytes: Strong,Epidermis
DCT,http://www.proteinatlas.org/images/10743/26206_B_4_8.jpg,epidermal cells: Strong,Epidermis
DCT,http://www.proteinatlas.org/images/10800/26198_B_9_1.jpg,fibroblasts: Negative: keratinocytes: Moderate: Langerhans: Negative: melanocytes: Strong,Epidermis
DCT,http://www.proteinatlas.org/images/10800/26198_B_4_8.jpg,epidermal cells: Strong,Epidermis
DCT,http://www.proteinatlas.org/images/17634/39219_B_9_1.jpg,fibroblasts: Negative: keratinocytes: Negative: Langerhans: Negative: melanocytes: Strong,Epidermis
DCT,http://www.proteinatlas.org/images/17634/39219_B_6_8.jpg,epidermal cells: Strong,Epidermis
COL5A3,http://www.proteinatlas.org/images/48256/118230_B_9_1.jpg,fibroblasts: Negative: keratinocytes: Moderate: Langerhans: Moderate: melanocytes: Strong,Epidermis
COL5A3,http://www.proteinatlas.org/images/48256/118230_B_5_8.jpg,epidermal cells: Moderate,Epidermis
PKP1,http://www.proteinatlas.org/images/27221/63513_B_9_1.jpg,fibroblasts: Weak: keratinocytes: Strong: Langerhans: Strong: melanocytes: Strong,Epidermis
PKP1,http://www.proteinatlas.org/images/27221/63513_B_6_8.jpg,epidermal cells: Strong,Epidermis
